path	physical_role	authority_effect
Knowledge/Learning/test_knowledge_correction.py	LEARNING_TEST_SUPPORT	NONE_FROM_ALLOCATION
Knowledge/Learning/test_knowledge_promotion.py	LEARNING_TEST_SUPPORT	NONE_FROM_ALLOCATION
Knowledge/Learning/test_knowledge_retrieval.py	LEARNING_TEST_SUPPORT	NONE_FROM_ALLOCATION
Knowledge/Learning/test_learning_evidence_integrity.py	LEARNING_TEST_SUPPORT	NONE_FROM_ALLOCATION
Knowledge/Learning/test_promotion_gate_adapter.py	LEARNING_TEST_SUPPORT	NONE_FROM_ALLOCATION
Knowledge/Learning/test_synthetic_function_fixture.py	LEARNING_TEST_SUPPORT	NONE_FROM_ALLOCATION
Knowledge/Learning/test_synthetic_reuse_experiment.py	LEARNING_TEST_SUPPORT	NONE_FROM_ALLOCATION
Knowledge/Mathematics/README.md	MATHEMATICS_SUBDOMAIN_DOC	NONE_FROM_ALLOCATION
Knowledge/Programming/PROGRAMMING_CONCEPT_RECORD.md	PROGRAMMING_SUBDOMAIN_SUPPORT	NONE_FROM_ALLOCATION
Knowledge/Programming/PROGRAMMING_LEARNING_PIPELINE.md	PROGRAMMING_SUBDOMAIN_SUPPORT	NONE_FROM_ALLOCATION
Knowledge/Programming/PROGRAMMING_SOURCE_INTAKE.md	PROGRAMMING_SUBDOMAIN_SUPPORT	NONE_FROM_ALLOCATION
Knowledge/Programming/PROGRAMMING_SOURCE_REGISTRY.md	PROGRAMMING_SUBDOMAIN_SUPPORT	NONE_FROM_ALLOCATION
Knowledge/Programming/README.md	PROGRAMMING_SUBDOMAIN_SUPPORT	NONE_FROM_ALLOCATION
Knowledge/README.md	DOMAIN_README_CONTROL	NONE_FROM_ALLOCATION
Knowledge/_FOLDER_STATUS.md	DOMAIN_STATUS_CONTROL	NONE_FROM_ALLOCATION
