id	source	target	type	evidence_class	state
REL-138	KNW-004	KNW-009	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-139	KNW-005	KNW-001	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-140	KNW-005	KNW-002	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-141	KNW-005	KNW-004	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-142	KNW-005	KNW-009	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-143	KNW-006	KNW-001	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-144	KNW-006	KNW-004	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-145	KNW-006	KNW-005	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-146	KNW-006	KNW-009	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-147	KNW-007	KNW-001	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-148	KNW-007	KNW-002	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-149	KNW-007	KNW-004	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-150	KNW-007	KNW-005	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-151	KNW-007	KNW-009	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-152	KNW-008	KNW-001	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-153	KNW-008	KNW-003	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-154	KNW-008	KNW-004	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-155	KNW-008	KNW-005	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-156	KNW-008	KNW-009	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-157	KNW-009	KNW-001	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-158	KNW-009	KNW-002	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-159	KNW-009	KNW-004	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-160	KNW-009	KNW-005	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-161	KNW-010	KNW-001	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-162	KNW-010	KNW-004	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-163	KNW-010	KNW-005	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-164	KNW-010	KNW-006	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-165	KNW-010	KNW-007	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-166	KNW-010	KNW-008	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-167	KNW-010	KNW-009	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
